TRIAL,TEXT,Nrate,GY
39,clay,0,3.7
39,clay,36,5.057
39,clay,62,5.392
39,clay,89,7.774
39,clay,116,8.765
39,clay,143,9.899
39,clay,170,10.426
39,clay,178,10.789
39,clay,196,10.506
3,loamy_sand,0,9.088
3,loamy_sand,84,11.854
3,loamy_sand,140,12.826
3,loamy_sand,196,13.15
3,loamy_sand,280,13.086
5,loamy_sand,0,12.172
5,loamy_sand,125,12.716
5,loamy_sand,181,12.988
5,loamy_sand,237,13.637
5,loamy_sand,321,14.523
10,loamy_sand,0,13.809
10,loamy_sand,140,14.78
10,loamy_sand,196,15.366
10,loamy_sand,252,14.743
10,loamy_sand,336,15.036
21,loamy_sand,0,8.805
21,loamy_sand,112,14.575
21,loamy_sand,168,15.8
21,loamy_sand,224,15.667
21,loamy_sand,336,15.454
26,loamy_sand,0,9.984
26,loamy_sand,56,10.757
26,loamy_sand,112,10.803
26,loamy_sand,168,11.98
26,loamy_sand,280,12.232
33,loamy_sand,0,10.686
33,loamy_sand,112,13.589
33,loamy_sand,168,13.867
33,loamy_sand,224,13.966
33,loamy_sand,336,14.168
41,loamy_sand,0,3.153
41,loamy_sand,27,4.283
41,loamy_sand,54,7.126
41,loamy_sand,80,6.697
41,loamy_sand,107,8.044
41,loamy_sand,134,5.974
41,loamy_sand,161,9.601
41,loamy_sand,187,7.466
41,loamy_sand,214,5.906
12,sandy_loam,0,15.486
12,sandy_loam,140,15.214
12,sandy_loam,196,15.572
12,sandy_loam,252,14.844
12,sandy_loam,336,15.004
17,sandy_loam,118,15.168
17,sandy_loam,162,15.25
17,sandy_loam,207,16.127
17,sandy_loam,263,16.527
17,sandy_loam,375,16.803
23,sandy_loam,0,11.911
23,sandy_loam,112,13.95
23,sandy_loam,168,15.54
23,sandy_loam,224,14.671
23,sandy_loam,336,15.025
32,sandy_loam,0,5.638
32,sandy_loam,112,10.356
32,sandy_loam,168,12.135
32,sandy_loam,224,12.043
32,sandy_loam,336,11.803
34,sandy_loam,0,12.176
34,sandy_loam,112,12.962
34,sandy_loam,168,12.858
34,sandy_loam,224,13.311
34,sandy_loam,336,12.947
4,silt_loam,0,9.742
4,silt_loam,84,11.287
4,silt_loam,140,11.037
4,silt_loam,196,10.963
4,silt_loam,280,11.473
6,silt_loam,0,10.969
6,silt_loam,140,12.75
6,silt_loam,196,12.845
6,silt_loam,252,12.563
6,silt_loam,336,13.638
7,silt_loam,0,6.989
7,silt_loam,140,13.855
7,silt_loam,196,14.322
7,silt_loam,252,14.6
7,silt_loam,336,15.021
8,silt_loam,0,11.714
8,silt_loam,84,15.439
8,silt_loam,140,15.99
8,silt_loam,196,16.288
8,silt_loam,280,16.161
9,silt_loam,0,8.674
9,silt_loam,140,13.8
9,silt_loam,196,13.952
9,silt_loam,252,14.624
9,silt_loam,336,15.19
11,silt_loam,0,12.091
11,silt_loam,140,13.372
11,silt_loam,196,12.806
11,silt_loam,252,13.392
11,silt_loam,336,12.932
13,silt_loam,0,8.865
13,silt_loam,56,13.204
13,silt_loam,112,13.898
13,silt_loam,168,15.02
13,silt_loam,280,14.315
15,silt_loam,0,10.598
15,silt_loam,56,13.582
15,silt_loam,112,15.217
15,silt_loam,168,15.522
15,silt_loam,280,16.226
16,silt_loam,0,12.654
16,silt_loam,56,12.47
16,silt_loam,112,14.031
16,silt_loam,168,14.148
16,silt_loam,280,14.404
18,silt_loam,0,8.643
18,silt_loam,112,16.795
18,silt_loam,168,17.095
18,silt_loam,224,16.844
18,silt_loam,336,16.46
19,silt_loam,0,11.668
19,silt_loam,56,14.945
19,silt_loam,112,16.03
19,silt_loam,168,16.481
19,silt_loam,280,16.749
20,silt_loam,0,8.789
20,silt_loam,112,12.176
20,silt_loam,168,13.843
20,silt_loam,224,14.267
20,silt_loam,336,14.229
22,silt_loam,0,11.519
22,silt_loam,112,12.891
22,silt_loam,168,13.685
22,silt_loam,224,14.699
22,silt_loam,336,14.231
27,silt_loam,0,12.134
27,silt_loam,56,14.12
27,silt_loam,112,15.343
27,silt_loam,168,14.472
27,silt_loam,280,14.724
29,silt_loam,0,10.49
29,silt_loam,112,14.123
29,silt_loam,168,15.103
29,silt_loam,224,16.269
29,silt_loam,336,16.749
30,silt_loam,0,10.507
30,silt_loam,112,15.153
30,silt_loam,168,15.975
30,silt_loam,224,15.889
30,silt_loam,336,16.13
31,silt_loam,0,10.33
31,silt_loam,56,12.826
31,silt_loam,112,15.628
31,silt_loam,168,15.107
31,silt_loam,280,15.584
35,silt_loam,0,4.914
35,silt_loam,36,6.474
35,silt_loam,62,8.585
35,silt_loam,89,9.249
35,silt_loam,116,11.349
35,silt_loam,143,10.604
35,silt_loam,170,11.124
35,silt_loam,178,11.042
35,silt_loam,196,11.62
36,silt_loam,0,6.917
36,silt_loam,36,9.814
36,silt_loam,62,12.262
36,silt_loam,89,12.931
36,silt_loam,116,13.794
36,silt_loam,143,13.936
36,silt_loam,170,13.825
36,silt_loam,178,15.166
36,silt_loam,196,14.794
37,silt_loam,0,5.997
37,silt_loam,36,7.289
37,silt_loam,62,8.461
37,silt_loam,89,9.488
37,silt_loam,116,10.427
37,silt_loam,143,10.953
37,silt_loam,170,11.235
37,silt_loam,178,10.308
37,silt_loam,196,9.824
38,silt_loam,0,3.512
38,silt_loam,36,4.297
38,silt_loam,62,6.232
