,TRIAL,STx,Y0,Ymax,NRmax,NRmax_r,NAEmax
0,1,silty clay loam,13.317,15.495999999999999,2.1789999999999985,16.362544116542754,13.929
5,4,silt loam,9.742,11.472999999999999,1.730999999999998,17.76842537466637,18.393
10,5,silt loam,10.969000000000001,13.638,2.6689999999999987,24.332208952502494,12.721
15,13,silty clay,7.903,13.671,5.768,72.98494242692648,76.321
20,29,silt loam,10.33,15.628,5.298,51.28751210067763,47.304
25,51,silt loam,4.157,6.71,2.553,61.414481597305745,29.335
34,53,silty clay loam,8.14,10.972999999999999,2.8329999999999984,34.80343980343979,29.415
43,54,silt loam,10.334000000000001,13.81,3.475999999999999,33.63653957809172,62.854
52,59,silt loam,5.7989999999999995,12.697000000000001,6.8980000000000015,118.95154336954651,72.745
61,64,silt loam,7.557,16.767,9.209999999999999,121.87375942834456,105.811
70,106,loam,5.524,11.237,5.713,103.42143374366401,34.178
74,109,loam,5.837999999999999,12.555,6.7170000000000005,115.05652620760536,55.8
78,110,loam,6.7170000000000005,7.784,1.0669999999999993,15.885067738573754,11.856
82,121,silty clay loam,6.627999999999999,12.606,5.978000000000001,90.19312009656007,48.367
86,162,silt loam,3.693,12.085,8.392000000000001,227.24072569726513,75.38
91,187,loam,3.9160000000000004,9.754,5.837999999999999,149.08069458631252,50.731
96,208,silty clay loam,8.524,11.105,2.5810000000000013,30.279211637728785,8.782
99,238,sandy loam,7.1,9.8,2.700000000000001,38.028169014084526,20.149
103,274,clay loam,13.328,14.270999999999999,0.9429999999999996,7.0753301320528195,12.24
114,305,loam,6.781000000000001,10.859000000000002,4.078000000000001,60.13862262203216,30.753
119,331,silty clay loam,16.108,17.038,0.9299999999999997,5.773528681400545,13.881
125,372,silty clay,9.652999999999999,13.485999999999999,3.833,39.70786284056771,46.867
136,393,loam,7.277,12.349,5.072,69.69905180706336,56.822
142,424,loam,6.664,10.825999999999999,4.161999999999999,62.45498199279711,18.58
145,454,silt loam,7.909,8.48,0.5710000000000006,7.219623214059939,4.079
148,489,sandy loam,4.316,10.015,5.699000000000001,132.04355885078778,42.054
155,554,silty clay loam,10.722999999999999,13.382,2.6590000000000007,24.797164972489053,41.48
161,659,silty clay,4.329,12.321,7.992,184.6153846153846,59.267
167,675,silt loam,6.797999999999999,15.05,8.252000000000002,121.38864371874085,34.327
170,677,loam,4.6930000000000005,14.547,9.854,209.972299168975,46.512
173,678,silt loam,8.363999999999999,13.599,5.235000000000001,62.58967001434722,28.53
176,739,silt loam,6.068,11.338,5.27,86.84904416611734,39.328
183,744,silt loam,2.9,6.6,3.6999999999999997,127.58620689655172,29.762
186,746,silt loam,2.8,6.9,4.1000000000000005,146.42857142857147,39.286
189,782,loam,10.837,14.183,3.346,30.875703608009598,18.185
195,784,silt loam,6.247000000000001,7.0120000000000005,0.7649999999999997,12.24587802145029,8.315
201,787,loam,9.6,13.2,3.5999999999999996,37.5,35.821
205,790,silty clay loam,5.7,12.2,6.499999999999999,114.03508771929822,62.687
209,793,silt loam,12.9,14.6,1.6999999999999993,13.178294573643404,19.403
213,801,silty clay loam,5.6,13.3,7.700000000000001,137.50000000000003,79.104
217,804,silty clay,8.8,9.7,0.8999999999999986,10.22727272727271,8.955
221,807,silty clay loam,8.7,9.9,1.200000000000001,13.793103448275875,16.418
225,811,silty clay loam,10.1,13.2,3.0999999999999996,30.693069306930692,29.851
229,815,silty clay loam,13.0,14.4,1.4000000000000004,10.769230769230772,14.925
233,817,silty clay loam,7.165,8.668,1.5029999999999992,20.976971388695034,15.256
238,831,loamy sand,3.5,12.7,9.2,262.85714285714283,61.6
244,836,sandy loam,2.7,4.1,1.3999999999999995,51.851851851851826,7.2
250,901,silt loam,4.197,12.436,8.239,196.30688587086016,75.983
255,902,silt loam,8.744,14.405999999999999,5.661999999999999,64.75297346752058,56.4
259,904,loam,14.914000000000001,16.980999999999998,2.0669999999999966,13.859460909212796,11.629
263,906,loam,13.704,18.557000000000002,4.8530000000000015,35.41301809690602,32.186
267,946,silt loam,4.343999999999999,14.501,10.157,233.81675874769803,53.5
272,949,silt loam,10.508,13.630999999999998,3.1229999999999993,29.720213170917393,41.967
277,953,silt loam,11.049000000000001,11.565,0.5159999999999982,4.670105891935905,2.15
282,957,silt loam,13.86,16.884,3.024000000000001,21.818181818181827,25.333
287,959,silt loam,12.890999999999998,17.208,4.317,33.48848033511753,35.783
292,961,sandy loam,11.834000000000001,17.99,6.155999999999997,52.01960452932226,64.483
297,965,silt loam,10.296,14.949000000000002,4.653000000000002,45.192307692307715,38.6
302,1033,loam,4.3,8.9,4.6000000000000005,106.97674418604652,37.624
305,1093,loam,8.57,12.42,3.8499999999999996,44.92415402567094,67.941
309,1095,loam,11.93,13.58,1.6500000000000004,13.830678960603523,15.97
313,1097,loam,4.35,6.67,2.3200000000000003,53.33333333333334,34.627
317,1102,silt loam,2.134,5.084,2.9499999999999997,138.23805060918463,37.66
321,1104,loam,9.934,14.562999999999999,4.629,46.59754378900745,50.66
327,1107,clay loam,5.11,13.706,8.596,168.21917808219177,61.64
333,1110,clay,5.955,9.996,4.041,67.85894206549119,31.06
339,1112,clay loam,5.757000000000001,10.767999999999999,5.010999999999998,87.0418620809449,83.24
344,1114,loam,1.037,8.342,7.305000000000001,704.4358727097398,48.7
349,1115,clay loam,2.033,8.187999999999999,6.154999999999999,302.75454992621735,39.79
354,1154,clay,10.728,11.792,1.064,9.917971662938106,4.433
360,1158,clay loam,3.0010000000000003,6.261,3.26,108.63045651449514,56.34
365,1160,clay loam,2.458,6.318,3.8599999999999994,157.0382424735557,34.52
370,1164,sandy loam ,1.784,8.527000000000001,6.743000000000001,377.97085201793726,26.972
376,1167,silty clay loam,12.049000000000001,12.624,0.5749999999999993,4.77218026392231,5.75
382,1168,silty clay,10.404000000000002,12.567,2.1629999999999985,20.790080738177604,9.68
388,1170,sandy loam,9.453,11.655,2.202,23.294192319898446,8.808
394,1181,loamy sand,3.014,3.1639999999999997,0.1499999999999999,4.976775049767748,1.889
399,1184,clay loam,8.176,9.918,1.741999999999999,21.306262230919753,38.711
404,1185,sandy loam,9.629,11.42,1.7910000000000004,18.600062311766543,19.611
409,1188,silt loam,8.258,10.498,2.24,27.125211915718094,23.067
