,TRIAL,STx,Nrate,GY,Y0,Ymax,NR,NRr,NAE
1,1,silty clay loam,84,14.434000000000001,13.317,15.495999999999999,1.1170000000000009,8.387775024404903,13.298
2,1,silty clay loam,140,15.267000000000001,13.317,15.495999999999999,1.950000000000001,14.642937598558243,13.929
3,1,silty clay loam,196,15.405,13.317,15.495999999999999,2.087999999999999,15.67920702861004,10.653
4,1,silty clay loam,280,15.495999999999999,13.317,15.495999999999999,2.1789999999999985,16.362544116542754,7.782
6,4,silt loam,84,11.287,9.742,11.472999999999999,1.545,15.85916649558612,18.393
7,4,silt loam,140,11.037,9.742,11.472999999999999,1.295,13.292958324779306,9.25
8,4,silt loam,196,10.963,9.742,11.472999999999999,1.2209999999999983,12.53336070622047,6.23
9,4,silt loam,280,11.472999999999999,9.742,11.472999999999999,1.730999999999998,17.76842537466637,6.182
11,5,silt loam,140,12.75,10.969000000000001,13.638,1.7809999999999988,16.236666970553365,12.721
12,5,silt loam,196,12.845,10.969000000000001,13.638,1.8759999999999994,17.10274409700063,9.571
13,5,silt loam,252,12.562999999999999,10.969000000000001,13.638,1.5939999999999976,14.531862521651906,6.325
14,5,silt loam,336,13.638,10.969000000000001,13.638,2.6689999999999987,24.332208952502494,7.943
16,13,silty clay,56,12.177,7.903,13.671,4.274,54.080728837150446,76.321
17,13,silty clay,112,13.397,7.903,13.671,5.494000000000001,69.51790459319247,49.054
18,13,silty clay,168,13.606,7.903,13.671,5.703,72.16246994812097,33.946
19,13,silty clay,280,13.671,7.903,13.671,5.768,72.98494242692648,20.6
21,29,silt loam,56,12.825999999999999,10.33,15.628,2.4959999999999987,24.162633107454003,44.571
22,29,silt loam,112,15.628,10.33,15.628,5.298,51.28751210067763,47.304
23,29,silt loam,168,15.107000000000001,10.33,15.628,4.777000000000001,46.243949661181034,28.435
24,29,silt loam,280,15.584000000000001,10.33,15.628,5.254000000000001,50.861568247821886,18.764
27,51,silt loam,36,5.037,4.157,6.71,0.8799999999999999,21.169112340630257,24.444
28,51,silt loam,62,5.989,4.157,6.71,1.8319999999999999,44.070242963675724,29.548
29,51,silt loam,89,5.443,4.157,6.71,1.2859999999999996,30.93577098869376,14.449
30,51,silt loam,116,5.6370000000000005,4.157,6.71,1.4800000000000004,35.60259802742363,12.759
31,51,silt loam,143,6.434,4.157,6.71,2.277,54.775078181380806,15.923
32,51,silt loam,170,6.5,4.157,6.71,2.343,56.36276160692807,13.782
26,51,silt loam,178,6.71,4.157,6.71,2.553,61.414481597305745,14.343
33,51,silt loam,196,6.599,4.157,6.71,2.442,58.744286745248985,12.459
36,53,silty clay loam,36,9.076,8.14,10.972999999999999,0.9359999999999999,11.498771498771497,26.0
37,53,silty clay loam,62,9.977,8.14,10.972999999999999,1.8369999999999997,22.56756756756756,29.629
38,53,silty clay loam,89,10.279000000000002,8.14,10.972999999999999,2.139000000000001,26.27764127764129,24.034
39,53,silty clay loam,116,10.208,8.14,10.972999999999999,2.0679999999999996,25.4054054054054,17.828
40,53,silty clay loam,143,10.497,8.14,10.972999999999999,2.3569999999999993,28.955773955773946,16.483
41,53,silty clay loam,170,10.703,8.14,10.972999999999999,2.562999999999999,31.48648648648647,15.076
35,53,silty clay loam,178,10.972999999999999,8.14,10.972999999999999,2.8329999999999984,34.80343980343979,15.916
42,53,silty clay loam,196,10.427,8.14,10.972999999999999,2.286999999999999,28.09582309582308,11.668
45,54,silt loam,36,12.577,10.334000000000001,13.81,2.2429999999999986,21.705051287013724,62.306
46,54,silt loam,62,11.779000000000002,10.334000000000001,13.81,1.4450000000000003,13.982968840719954,23.306
47,54,silt loam,89,11.005,10.334000000000001,13.81,0.6709999999999994,6.493129475517702,7.539
48,54,silt loam,116,13.25,10.334000000000001,13.81,2.9159999999999986,28.21753435262239,25.138
49,54,silt loam,143,12.717,10.334000000000001,13.81,2.382999999999999,23.05980259338106,16.664
50,54,silt loam,170,13.81,10.334000000000001,13.81,3.475999999999999,33.63653957809172,20.447
44,54,silt loam,178,11.482999999999999,10.334000000000001,13.81,1.1489999999999974,11.118637507257569,6.455
51,54,silt loam,196,10.857999999999999,10.334000000000001,13.81,0.5239999999999974,5.0706406038319844,2.673
54,59,silt loam,36,7.977,5.7989999999999995,12.697000000000001,2.178000000000001,37.55819968960167,60.5
55,59,silt loam,62,10.342,5.7989999999999995,12.697000000000001,4.543000000000001,78.34109329194692,73.274
56,59,silt loam,89,10.628,5.7989999999999995,12.697000000000001,4.829000000000001,83.27297809967237,54.258
57,59,silt loam,116,11.790999999999999,5.7989999999999995,12.697000000000001,5.991999999999999,103.32816002759095,51.655
58,59,silt loam,143,11.54,5.7989999999999995,12.697000000000001,5.741,98.99982755647527,40.147
59,59,silt loam,170,10.727,5.7989999999999995,12.697000000000001,4.928000000000001,84.98016899465426,28.988
53,59,silt loam,178,12.697000000000001,5.7989999999999995,12.697000000000001,6.8980000000000015,118.95154336954651,38.753
