TRIAL,STx,Nrate,GY
1110,clay,0,5.955
1110,clay,50,6.326
1110,clay,100,9.061
1110,clay,150,9.725
1110,clay,200,9.996
1110,clay,250,9.933
1154,clay,0,10.728
1154,clay,80,10.643
1154,clay,120,11.05
1154,clay,160,5.161
1154,clay,200,9.25
1154,clay,240,11.792
274,clay loam,0,13.328
274,clay loam,50,13.94
274,clay loam,50,13.815
274,clay loam,90,14.271
274,clay loam,90,14.158
274,clay loam,130,13.956
274,clay loam,130,13.91
274,clay loam,180,13.694
274,clay loam,180,13.362
274,clay loam,300,14.143
274,clay loam,300,13.106
1107,clay loam,0,5.11
1107,clay loam,50,6.647
1107,clay loam,100,11.274
1107,clay loam,150,12.113
1107,clay loam,200,13.093
1107,clay loam,250,13.706
1112,clay loam,0,5.757
1112,clay loam,50,9.919
1112,clay loam,100,10.194
1112,clay loam,150,10.768
1112,clay loam,200,10.607
1115,clay loam,0,2.033
1115,clay loam,50,3.798
1115,clay loam,100,6.012
1115,clay loam,150,7.137
1115,clay loam,200,8.188
1158,clay loam,0,3.001
1158,clay loam,50,5.818
1158,clay loam,100,5.931
1158,clay loam,150,6.261
1158,clay loam,200,0.31
1160,clay loam,0,2.458
1160,clay loam,50,4.184
1160,clay loam,100,5.737
1160,clay loam,150,6.318
1160,clay loam,200,0.481
1184,clay loam,0,8.176
1184,clay loam,45,9.918
1184,clay loam,90,9.869
1184,clay loam,135,8.776
1184,clay loam,200,8.965
106,loam,0,5.524
106,loam,90,8.6
106,loam,179,10.107
106,loam,269,11.237
109,loam,0,5.838
109,loam,90,10.86
109,loam,179,12.304
109,loam,269,12.555
110,loam,0,6.717
110,loam,90,7.784
110,loam,179,7.659
110,loam,269,7.47
187,loam,0,3.916
187,loam,67,7.315
187,loam,134,9.015
187,loam,201,8.867
187,loam,268,9.754
305,loam,0,6.781
305,loam,73,9.026
305,loam,124,9.402
305,loam,174,10.859
305,loam,224,10.407
393,loam,0,7.277
393,loam,45,9.834
393,loam,89,10.561
393,loam,134,11.662
393,loam,179,11.865
393,loam,224,12.349
424,loam,0,6.664
424,loam,190,6.516
424,loam,224,10.826
677,loam,0,4.693
677,loam,168,12.507
677,loam,336,14.547
782,loam,0,10.837
782,loam,46,11.474
782,loam,92,12.207
782,loam,138,13.227
782,loam,184,14.183
782,loam,230,14.183
787,loam,0,9.6
787,loam,67,12
787,loam,134,12
787,loam,269,13.2
904,loam,0,14.914
904,loam,70,15.728
904,loam,140,15.843
904,loam,210,16.981
906,loam,0,13.704
906,loam,70,15.957
906,loam,140,16.652
906,loam,210,18.557
1033,loam,0,4.3
1033,loam,101,8.1
1033,loam,202,8.9
1093,loam,0,8.57
1093,loam,34,10.88
1093,loam,67,12.2
1093,loam,134,12.42
1095,loam,0,11.93
1095,loam,34,12.23
1095,loam,67,13
1095,loam,134,13.58
1097,loam,0,4.35
1097,loam,34,5.44
1097,loam,67,6.67
1097,loam,134,6.54
1104,loam,0,9.934
1104,loam,50,12.467
1104,loam,100,13.638
1104,loam,150,14.266
1104,loam,200,13.724
1104,loam,250,14.563
1114,loam,0,1.037
1114,loam,50,2.446
1114,loam,100,5.666
1114,loam,150,8.342
1114,loam,200,8.129
831,loamy sand,0,3.5
831,loamy sand,125,11.2
831,loamy sand,185,11.3
831,loamy sand,250,12
831,loamy sand,250,12.7
831,loamy sand,300,11.9
1181,loamy sand,0,3.014
1181,loamy sand,45,3.099
1181,loamy sand,90,2.608
1181,loamy sand,135,3.164
1181,loamy sand,200,2.848
238,sandy loam,0,7.1
238,sandy loam,134,9.8
238,sandy loam,202,8.5
238,sandy loam,269,8
489,sandy loam,0,4.316
489,sandy loam,56,6.671
489,sandy loam,112,8.752
489,sandy loam,168,9.688
489,sandy loam,224,8.673
489,sandy loam,280,9.799
489,sandy loam,336,10.015
836,sandy loam,0,2.7
836,sandy loam,125,3.6
836,sandy loam,185,3.5
836,sandy loam,250,4.1
836,sandy loam,250,4
836,sandy loam,300,3.8
961,sandy loam,0,11.834
961,sandy loam,60,15.703
961,sandy loam,120,16.249
961,sandy loam,180,16.471
961,sandy loam,240,17.99
1164,sandy loam,0,1.784
1164,sandy loam,50,2.265
1164,sandy loam,100,3.562
1164,sandy loam,150,4.687
1164,sandy loam,200,6.83
1164,sandy loam,250,8.527
1170,sandy loam,0,9.453
1170,sandy loam,50,9.318
1170,sandy loam,100,9.586
1170,sandy loam,150,7.035
1170,sandy loam,200,6.045
1170,sandy loam,250,11.655
1185,sandy loam,0,9.629
1185,sandy loam,45,10.511
1185,sandy loam,90,11.394
1185,sandy loam,135,11.149
1185,sandy loam,200,11.42
4,silt loam,0,9.742
4,silt loam,84,11.287
4,silt loam,140,11.037
4,silt loam,196,10.963
4,silt loam,280,11.473
5,silt loam,0,10.969
5,silt loam,140,12.75
5,silt loam,196,12.845
5,silt loam,252,12.563
5,silt loam,336,13.638
29,silt loam,0,10.33
29,silt loam,56,12.826
29,silt loam,112,15.628
29,silt loam,168,15.107
29,silt loam,280,15.584
51,silt loam,0,4.157
51,silt loam,178,6.71
51,silt loam,36,5.037
51,silt loam,62,5.989
51,silt loam,89,5.443
51,silt loam,116,5.637
51,silt loam,143,6.434
51,silt loam,170,6.5
51,silt loam,196,6.599
54,silt loam,0,10.334
54,silt loam,178,11.483
54,silt loam,36,12.577
54,silt loam,62,11.779
54,silt loam,89,11.005
54,silt loam,116,13.25
54,silt loam,143,12.717
54,silt loam,170,13.81
54,silt loam,196,10.858
59,silt loam,0,5.799
59,silt loam,178,12.697
59,silt loam,36,7.977
59,silt loam,62,10.342
59,silt loam,89,10.628
59,silt loam,116,11.791
59,silt loam,143,11.54
59,silt loam,170,10.727
59,silt loam,196,11.978
64,silt loam,0,7.557
64,silt loam,178,13.674
64,silt loam,36,10.288
64,silt loam,62,14.165
64,silt loam,89,12.965
64,silt loam,116,15.571
64,silt loam,143,14.851
64,silt loam,170,16.767
64,silt loam,196,15.877
162,silt loam,0,3.693
162,silt loam,50,7.462
162,silt loam,100,10.553
162,silt loam,150,12.06
162,silt loam,200,12.085
454,silt loam,0,7.909
454,silt loam,34,8.012
454,silt loam,140,8.48
675,silt loam,0,6.798
675,silt loam,168,12.565
675,silt loam,336,15.05
678,silt loam,0,8.364
678,silt loam,168,13.157
678,silt loam,336,13.599
739,silt loam,0,6.068
739,silt loam,45,6.056
739,silt loam,90,8.601
739,silt loam,134,11.338
739,silt loam,179,10.999
739,silt loam,224,8.477
739,silt loam,269,9.35
744,silt loam,0,2.9
744,silt loam,84,5.4
744,silt loam,168,6.6
746,silt loam,0,2.8
746,silt loam,84,6.1
746,silt loam,168,6.9
784,silt loam,0,6.247
784,silt loam,46,6.566
784,silt loam,92,7.012
784,silt loam,138,6.088
784,silt loam,184,6.757
784,silt loam,230,6.534
793,silt loam,0,12.9
793,silt loam,67,14.2
793,silt loam,134,14.3
793,silt loam,269,14.6
901,silt loam,0,4.197
901,silt loam,60,8.756
901,silt loam,120,9.62
901,silt loam,180,12.265
901,silt loam,260,12.436
902,silt loam,0,8.744
902,silt loam,70,12.692
902,silt loam,140,14.406
902,silt loam,210,11.983
946,silt loam,0,4.344
946,silt loam,60,7.554
946,silt loam,120,10.128
946,silt loam,180,13.175
946,silt loam,240,14.501
949,silt loam,0,10.508
949,silt loam,60,13.026
949,silt loam,120,13.549
949,silt loam,180,13.205
949,silt loam,240,13.631
953,silt loam,0,11.049
953,silt loam,60,10.862
953,silt loam,120,10.787
953,silt loam,180,10.569
953,silt loam,240,11.565
957,silt loam,0,13.86
957,silt loam,60,15.38
957,silt loam,120,16.884
957,silt loam,180,16.281
957,silt loam,240,16.163
959,silt loam,0,12.891
959,silt loam,60,15.038
959,silt loam,120,16.308
959,silt loam,180,17.208
959,silt loam,240,16.634
965,silt loam,0,10.296
965,silt loam,60,12.612
965,silt loam,120,14.302
965,silt loam,180,14.348
965,silt loam,240,14.949
1102,silt loam,0,2.134
1102,silt loam,50,4.017
1102,silt loam,100,4.143
1102,silt loam,150,5.084
1188,silt loam,0,8.258
1188,silt loam,45,9.224
1188,silt loam,90,10.334
1188,silt loam,135,10.498
1188,silt loam,200,9.894
13,silty clay,0,7.903
13,silty clay,56,12.177
13,silty clay,112,13.397
13,silty clay,168,13.606
13,silty clay,280,13.671
372,silty clay,0,9.653
372,silty clay,30,10.081
372,silty clay,60,11.235
372,silty clay,90,11.641
372,silty clay,130,12.402
372,silty clay,200,12.412
372,silty clay,30,10.366
372,silty clay,60,12.465
372,silty clay,90,13.103
372,silty clay,130,13.486
372,silty clay,200,13.281
659,silty clay,0,4.329
659,silty clay,50,7.262
659,silty clay,101,10.315
659,silty clay,151,11.73
659,silty clay,202,11.786
659,silty clay,252,12.321
804,silty clay,0,8.8
804,silty clay,67,9.4
804,silty clay,134,9.7
804,silty clay,269,9.7
1168,silty clay,0,10.404
1168,silty clay,50,10.738
1168,silty clay,100,11.372
1168,silty clay,150,11.737
1168,silty clay,200,11.743
1168,silty clay,250,12.567
1,silty clay loam,0,13.317
1,silty clay loam,84,14.434
1,silty clay loam,140,15.267
1,silty clay loam,196,15.405
1,silty clay loam,280,15.496
53,silty clay loam,0,8.14
53,silty clay loam,178,10.973
53,silty clay loam,36,9.076
53,silty clay loam,62,9.977
53,silty clay loam,89,10.279
53,silty clay loam,116,10.208
53,silty clay loam,143,10.497
53,silty clay loam,170,10.703
53,silty clay loam,196,10.427
121,silty clay loam,0,6.628
121,silty clay loam,90,10.981
121,silty clay loam,179,12.476
121,silty clay loam,269,12.606
208,silty clay loam,0,8.524
208,silty clay loam,165,9.973
208,silty clay loam,330,11.105
331,silty clay loam,0,16.108
331,silty clay loam,22,15.866
331,silty clay loam,45,16.25
331,silty clay loam,67,17.038
331,silty clay loam,90,16.972
331,silty clay loam,179,16.423
554,silty clay loam,0,10.723
554,silty clay loam,50,12.797
554,silty clay loam,101,13.023
554,silty clay loam,151,13.023
554,silty clay loam,202,13.096
554,silty clay loam,252,13.382
790,silty clay loam,0,5.7
790,silty clay loam,67,9.9
790,silty clay loam,134,11.9
790,silty clay loam,269,12.2
801,silty clay loam,0,5.6
801,silty clay loam,67,10.9
801,silty clay loam,134,12.4
801,silty clay loam,269,13.3
807,silty clay loam,0,8.7
807,silty clay loam,67,9.8
807,silty clay loam,134,9.9
807,silty clay loam,269,9.9
811,silty clay loam,0,10.1
811,silty clay loam,67,12.1
811,silty clay loam,134,13.1
811,silty clay loam,269,13.2
815,silty clay loam,0,13
815,silty clay loam,67,14
815,silty clay loam,134,14.3
815,silty clay loam,269,14.4
817,silty clay loam,0,7.165
817,silty clay loam,90,8.538
817,silty clay loam,134,8.668
817,silty clay loam,179,7.83
817,silty clay loam,224,8.045
1167,silty clay loam,0,12.049
1167,silty clay loam,50,11.761
1167,silty clay loam,100,12.624
1167,silty clay loam,150,4.4
1167,silty clay loam,200,7.716
1167,silty clay loam,250,8.119
